collection,journal,pmcid,no_pmid,%
Springer Nature,Z Gesundh Wiss,115,1,0.9
Springer Nature,Z Lebensm Unters Forsch,1,1,100
Springer Nature,Zell- und Molekularbiologie im Überblick,1,1,100
Springer Nature,Zhongguancun Model: Driving the Dual Engines of Science & Technology and Capital,1,1,100
Springer Nature,Zika Virus Infection,1,1,100
Springer Nature,Zoo Talk,1,1,100
Springer Nature,Zorgvisie,43,1,2.3
Springer Nature,Zuchter,1,1,100
Springer Nature,Zur Relevanz der Fürsorge in Geschichte und Gegenwart,1,1,100
Springer Nature,Zwischen Methodenpluralismus und Datenhandel,1,1,100
Taylor & Francis,Cities Health,1,1,100
Taylor & Francis,Expert Opin Ther Pat,6,1,16.7
Taylor & Francis,Hum Vaccin Immunother,55,1,1.8
Taylor & Francis,Infect Dis (Lond),27,1,3.7
Taylor & Francis,J Sulphur Chem,1,1,100
Thieme,Dtsch Med Wochenschr,10,1,10
Thieme,Pneumologie,16,1,6.2
Thieme,Tierarztl Prax Ausg K Kleintiere Heimtiere,1,1,100
Wiley,Acad Emerg Med,68,1,1.5
Wiley,Adv Biol (Weinh),2,1,50
Wiley,Adv Mater,12,1,8.3
Wiley,Adv Sci (Weinh),19,1,5.3
Wiley,Am J Hematol,60,1,1.7
Wiley,Am J Hum Biol,18,1,5.6
Wiley,Am J Phys Anthropol,6,1,16.7
Wiley,Am J Primatol,12,1,8.3
Wiley,Angew Chem Weinheim Bergstr Ger,16,1,6.2
Wiley,Asia Pac Econ Lit,1,1,100
Wiley,Aust N Z J Fam Ther,12,1,8.3
Wiley,Aust N Z J Obstet Gynaecol,12,1,8.3
Wiley,Biotechnol J,15,1,6.7
Wiley,Br J Haematol,172,1,0.6
Wiley,Br J Learn Disabil,4,1,25
Wiley,Brain Pathol,15,1,6.7
Wiley,Chemistry,8,1,12.5
Wiley,Chempluschem,3,1,33.3
Wiley,Clin Exp Dermatol,81,1,1.2
Wiley,Clin Exp Immunol,33,1,3
Wiley,Clin Exp Optom,8,1,12.5
Wiley,Clin Genet,5,1,20
Wiley,Clin Oral Implants Res,7,1,14.3
Wiley,Clin Psychol Psychother,10,1,10
Wiley,Clin Transl Sci,31,1,3.2
Wiley,Dermatol Ther,350,1,0.3
Wiley,Ecol Appl,6,1,16.7
Wiley,EMBO Rep,43,1,2.3
Wiley,Equine Vet Educ,21,1,4.8
Wiley,Eur J Inorg Chem,1,1,100
Wiley,Evolution,12,1,8.3
Wiley,FEMS Microbiol Ecol,1,1,100
Wiley,Gerodontology,4,1,25
Wiley,Glob Policy,14,1,7.1
Wiley,Hastings Cent Rep,36,1,2.8
Wiley,Health Promot J Austr,10,1,10
Wiley,Health Serv Res,2,1,50
Wiley,Immunol Cell Biol,18,1,5.6
Wiley,Immunology,46,1,2.2
Wiley,Int J Dermatol,99,1,1
Wiley,Int J Food Sci Technol,1,1,100
Wiley,Int J Health Plann Manage,76,1,1.3
Wiley,J Am Coll Clin Pharm,23,1,4.3
Wiley,J Anim Physiol Anim Nutr (Berl),4,1,25
Wiley,J Appl Bacteriol,3,1,33.3
Wiley,J Appl Clin Med Phys,9,1,11.1
Wiley,J Bone Miner Res,7,1,14.3
Wiley,J Card Surg,111,1,0.9
Wiley,J Diabetes,25,1,4
Wiley,J Environ Qual,3,1,33.3
Wiley,J Fish Dis,10,1,10
Wiley,J Food Biochem,6,1,16.7
Wiley,J Gastroenterol Hepatol,34,1,2.9
Wiley,J Law Med Ethics,5,1,20
Wiley,J Med Virol,1339,1,0.1
Wiley,J Microsc,2,1,50
Wiley,J Midwifery Womens Health,10,1,10
Wiley,J Neurochem,9,1,11.1
Wiley,J Peripher Nerv Syst,3,1,33.3
Wiley,J Physiol,8,1,12.5
Wiley,J Phytopathol (1986),1,1,100
Wiley,J Supramol Struct,1,1,100
Wiley,Lett Appl Microbiol,18,1,5.6
Wiley,Liver Transpl,19,1,5.3
Wiley,New Phytol,6,1,16.7
Wiley,Pathol Int,7,1,14.3
Wiley,Pediatr Allergy Immunol,52,1,1.9
Wiley,Pediatr Blood Cancer,110,1,0.9
Wiley,Pediatr Int,41,1,2.4
Wiley,Pharmacotherapy,27,1,3.7
Wiley,Plant Cell Environ,1,1,100
Wiley,PM R,36,1,2.8
Wiley,Polit Q,14,1,7.1
Wiley,Polit Sci Q,1,1,100
Wiley,Protein Sci,43,1,2.3
Wiley,Psychoanal Q,1,1,100
Wiley,Scanning,1,1,100
Wiley,Small,13,1,7.7
Wiley,Spec Care Dentist,18,1,5.6
Wiley,Stress Health,15,1,6.7
Wiley,Tijdschr Econ Soc Geogr,28,1,3.6
Wiley,Trans Am Fish Soc,4,1,25
Wiley,Transfus Altern Transfus Med,1,1,100
Wiley,Transfus Med,18,1,5.6
Wiley,Transfusion,133,1,0.8
Wiley,Transpl Int,40,1,2.5
Wiley,Vet Clin Pathol,16,1,6.2
Wiley,Vet Dermatol,9,1,11.1
Wiley,Vet Radiol Ultrasound,12,1,8.3
Wiley,Vet Rec,21,1,4.8
Wiley,Vet Surg,2,1,50
Wiley,Xenotransplantation,11,1,9.1
Wiley,Zoosyst Evol,1,1,100
Wolters Kluwer,Anesthesiology,49,1,2
Wolters Kluwer,Circ Res,20,1,5
Wolters Kluwer,J Assoc Nurses AIDS Care,3,1,33.3
Wolters Kluwer,J Craniofac Surg,33,1,3
Wolters Kluwer,J Infus Nurs,2,1,50
Wolters Kluwer,South Med J,29,1,3.4
Wolters Kluwer,Strength Cond J,1,1,100
AAAS,Sci Adv,1,0,0
AAAS,Sci Immunol,27,0,0
AAAS,Sci Signal,6,0,0
AAAS,Sci Transl Med,29,0,0
AAAS,Science,119,0,0
American College of Physicians,Ann Intern Med,300,0,0
ACS,ACS Appl Mater Interfaces,21,0,0
ACS,ACS Biomater Sci Eng,9,0,0
ACS,ACS Catal,3,0,0
ACS,ACS Chem Biol,7,0,0
ACS,ACS Chem Neurosci,32,0,0
ACS,ACS Comb Sci,2,0,0
ACS,ACS Energy Lett,2,0,0
ACS,ACS Infect Dis,48,0,0
ACS,ACS Macro Lett,1,0,0
ACS,ACS Mater Lett,1,0,0
ACS,ACS Nano,56,0,0
ACS,ACS Omega,32,0,0
ACS,ACS Sens,30,0,0
ACS,ACS Sustain Chem Eng,2,0,0
ACS,ACS Synth Biol,3,0,0
ACS,Anal Chem,52,0,0
ACS,Biochemistry,14,0,0
ACS,Bioconjug Chem,4,0,0
ACS,Biomacromolecules,1,0,0
ACS,Chem Res Toxicol,3,0,0
ACS,Chem Rev,2,0,0
ACS,Environ Sci Technol,32,0,0
ACS,Inorg Chem,2,0,0
ACS,J Agric Food Chem,3,0,0
ACS,J Am Soc Mass Spectrom,3,0,0
ACS,J Chem Inf Model,36,0,0
ACS,J Chem Theory Comput,3,0,0
ACS,J Med Chem,32,0,0
ACS,J Nat Prod,4,0,0
ACS,J Org Chem,1,0,0
ACS,J Phys Chem B,25,0,0
ACS,J Phys Chem Lett,36,0,0
ACS,J Proteome Res,66,0,0
ACS,JACS Au,2,0,0
ACS,Langmuir,5,0,0
ACS,Mol Pharm,4,0,0
ACS,Nano Lett,12,0,0
ACS,Org Lett,1,0,0
AOSIS,Afr J Disabil,8,0,0
AOSIS,Afr J Lab Med,13,0,0
AOSIS,Afr J Prim Health Care Fam Med,48,0,0
AOSIS,Curationis,4,0,0
AOSIS,Health SA,18,0,0
AOSIS,Jamba,12,0,0
AOSIS,Onderstepoort J Vet Res,5,0,0
AOSIS,S Afr Fam Pract (2004),12,0,0
AOSIS,S Afr J Commun Disord,14,0,0
AOSIS,S Afr J Infect Dis,3,0,0
AOSIS,S Afr J Physiother,11,0,0
AOSIS,S Afr J Psychiatr,19,0,0
AOSIS,SA J Radiol,6,0,0
AOSIS,South Afr J HIV Med,10,0,0
ASME,J Biomech Eng,1,0,0
ASME,J Eng Sci Med Diagn Ther,11,0,0
ASME,J Fluids Eng,1,0,0
ASME,J Med Device,9,0,0
BMJ,Ann Rheum Dis,34,0,0
BMJ,Arch Dis Child,25,0,0
BMJ,Arch Dis Child Fetal Neonatal Ed,7,0,0
BMJ,BMJ Case Rep,94,0,0
BMJ,BMJ Evid Based Med,5,0,0
BMJ,BMJ Health Care Inform,30,0,0
BMJ,BMJ Mil Health,13,0,0
BMJ,BMJ Neurol Open,3,0,0
BMJ,BMJ Open Ophthalmol,16,0,0
BMJ,BMJ Open Qual,28,0,0
BMJ,BMJ Open Sport Exerc Med,14,0,0
BMJ,BMJ Paediatr Open,60,0,0
BMJ,BMJ Qual Saf,8,0,0
BMJ,BMJ Sex Reprod Health,10,0,0
BMJ,BMJ Support Palliat Care,6,0,0
BMJ,BMJ Surg Interv Health Technol,2,0,0
BMJ,Br J Ophthalmol,14,0,0
BMJ,Br J Sports Med,20,0,0
BMJ,Emerg Med J,33,0,0
BMJ,ESMO Open,20,0,0
BMJ,Eur J Hosp Pharm,15,0,0
BMJ,Evid Based Ment Health,1,0,0
BMJ,Fam Med Community Health,17,0,0
BMJ,Gen Psychiatr,24,0,0
BMJ,Heart,19,0,0
BMJ,Inj Prev,1,0,0
BMJ,Int J Gynecol Cancer,7,0,0
BMJ,J Clin Pathol,20,0,0
BMJ,J Epidemiol Community Health,39,0,0
BMJ,J Immunother Cancer,35,0,0
BMJ,J Investig Med,20,0,0
BMJ,J Med Ethics,98,0,0
BMJ,J Med Genet,1,0,0
BMJ,J Neurointerv Surg,17,0,0
BMJ,J Neurol Neurosurg Psychiatry,6,0,0
BMJ,Lupus Sci Med,6,0,0
BMJ,Med Humanit,6,0,0
BMJ,Occup Environ Med,17,0,0
BMJ,Postgrad Med J,37,0,0
BMJ,Pract Neurol,2,0,0
BMJ,Reg Anesth Pain Med,2,0,0
BMJ,Sex Transm Infect,21,0,0
BMJ,Stroke Vasc Neurol,11,0,0
BMJ,Thorax,38,0,0
BMJ,Tob Control,3,0,0
BMJ,Trauma Surg Acute Care Open,19,0,0
Cambridge University Press,Acta Neuropsychiatr,6,0,0
Cambridge University Press,Anim Health Res Rev,1,0,0
Cambridge University Press,Animal,1,0,0
Cambridge University Press,APSIPA Trans Signal Inf Process,1,0,0
Cambridge University Press,Behav Cogn Psychother,1,0,0
Cambridge University Press,BJPsych Open,73,0,0
Cambridge University Press,Br J Nutr,28,0,0
Cambridge University Press,Camb Q Healthc Ethics,20,0,0
Cambridge University Press,Can J Aging,5,0,0
Cambridge University Press,Can J Neurol Sci,38,0,0
Cambridge University Press,Cardiol Young,41,0,0
Cambridge University Press,CNS Spectr,3,0,0
Cambridge University Press,Cogn Behav Therap,10,0,0
Cambridge University Press,Disaster Med Public Health Prep,501,0,0
Cambridge University Press,Epidemiol Psychiatr Sci,13,0,0
Cambridge University Press,Eur Psychiatry,18,0,0
Cambridge University Press,Exp Results,4,0,0
Cambridge University Press,Expert Rev Mol Med,1,0,0
Cambridge University Press,Glob Ment Health (Camb),12,0,0
Cambridge University Press,Health Econ Policy Law,16,0,0
Cambridge University Press,Infect Control Hosp Epidemiol,540,0,0
Cambridge University Press,Int Psychogeriatr,43,0,0
Cambridge University Press,J Asian Stud,6,0,0
Cambridge University Press,J Dev Orig Health Dis,1,0,0
Cambridge University Press,J Fluid Mech,1,0,0
Cambridge University Press,J Laryngol Otol,79,0,0
Cambridge University Press,Mod Italy,1,0,0
Cambridge University Press,MRS Adv,1,0,0
Cambridge University Press,MRS Commun,1,0,0
Cambridge University Press,Nutr Res Rev,1,0,0
Cambridge University Press,Palliat Support Care,12,0,0
Cambridge University Press,Public Health Nutr,43,0,0
Cambridge University Press,QRB Discov,2,0,0
Elsevier,AACE Clin Case Rep,9,0,0
Elsevier,Acad Pediatr,45,0,0
Elsevier,Acad Radiol,127,0,0
Elsevier,Accid Anal Prev,9,0,0
Elsevier,Acta Anaesthesiol Taiwan,2,0,0
Elsevier,Acta Astronaut,4,0,0
Elsevier,Acta Biomater,6,0,0
Elsevier,Acta Haematol Pol,2,0,0
Elsevier,Acta Histochem,5,0,0
Elsevier,Acta Oecol (Montrouge),1,0,0
Elsevier,Acta Otorrinolaringol Esp (Engl Ed),4,0,0
Elsevier,Acta Pharm Sin B,42,0,0
Elsevier,Acta Psychol (Amst),6,0,0
Elsevier,Acta Trop,23,0,0
Elsevier,Actual Pharm,70,0,0
Elsevier,Actual Pharm Hosp,4,0,0
Elsevier,Ad Hoc Netw,1,0,0
Elsevier,Addict Behav,14,0,0
Elsevier,Addict Behav Rep,5,0,0
Elsevier,Addit Manuf,2,0,0
Elsevier,Adv Antivir Drug Des,3,0,0
Elsevier,Adv Appl Microbiol,6,0,0
Elsevier,Adv Biol Regul,14,0,0
Elsevier,Adv Biomark Sci Technol,1,0,0
Elsevier,Adv Bot Res,1,0,0
Elsevier,Adv Cancer Res,1,0,0
Elsevier,Adv Carbohydr Chem Biochem,3,0,0
Elsevier,Adv Chronic Kidney Dis,14,0,0
Elsevier,Adv Colloid Interface Sci,5,0,0
Elsevier,Adv Dermatol,1,0,0
Elsevier,Adv Food Nutr Res,3,0,0
Elsevier,Adv Genet,13,0,0
Elsevier,Adv Heterocycl Chem,2,0,0
Elsevier,Adv In Insect Phys,1,0,0
Elsevier,Adv Integr Med,19,0,0
Elsevier,Adv Mar Biol,1,0,0
Elsevier,Adv Med Sci,6,0,0
Elsevier,Adv Neuroimmunol,1,0,0
Elsevier,Adv Neurotoxicol,1,0,0
Elsevier,Adv Ophthalmol Optom,2,0,0
Elsevier,Adv Planar Lipid Bilayers Liposomes,1,0,0
Elsevier,Adv Protein Chem,1,0,0
Elsevier,Adv Radiat Oncol,95,0,0
Elsevier,Adv Small Anim Med Surg,13,0,0
Elsevier,Adv Space Res,1,0,0
Elsevier,Adv Surg,2,0,0
Elsevier,Adv Vet Med,13,0,0
Elsevier,Adv Vet Sci Comp Med,4,0,0
Elsevier,Afr J Emerg Med,19,0,0
Elsevier,Ageing Res Rev,26,0,0
Elsevier,Aggress Violent Behav,1,0,0
Elsevier,Aging Health Res,3,0,0
Elsevier,Agric Syst,10,0,0
Elsevier,Agric Water Manag,1,0,0
Elsevier,AJOG Glob Rep,3,0,0
Elsevier,Alcohol,6,0,0
Elsevier,Algal Res,1,0,0
Elsevier,Alkaloids Chem Biol,2,0,0
Elsevier,Allergol Immunopathol (Madr),13,0,0
Elsevier,Allergol Int,7,0,0
Elsevier,Alter,6,0,0
Elsevier,Am Heart J Plus,10,0,0
Elsevier,Am J Cardiol,67,0,0
Elsevier,Am J Hum Genet,10,0,0
Elsevier,Am J Hypertens,1,0,0
Elsevier,Am J Ophthalmol Case Rep,19,0,0
Elsevier,Am J Otolaryngol,141,0,0
Elsevier,Am J Surg,79,0,0
Elsevier,Ambul Pediatr,3,0,0
Elsevier,An Bras Dermatol,4,0,0
Elsevier,An Pediatr (Engl Ed),54,0,0
Elsevier,Anaerobe,14,0,0
Elsevier,Anaesth Crit Care Pain Med,127,0,0
Elsevier,Anal Biochem,21,0,0
Elsevier,Anesthesiol Clin,10,0,0
Elsevier,Anesthesiol Clin North Am,6,0,0
Elsevier,Anim Behav,1,0,0
Elsevier,Animal,4,0,0
Elsevier,Ann Anat,4,0,0
Elsevier,Ann Chir Plast Esthet,1,0,0
Elsevier,Ann Diagn Pathol,13,0,0
Elsevier,Ann Fr Anesth Reanim,2,0,0
Elsevier,Ann Glob Health,9,0,0
Elsevier,Ann Inst Pasteur Actual,3,0,0
Elsevier,Ann Inst Pasteur Microbiol,1,0,0
Elsevier,Ann Med Psychol (Paris),41,0,0
Elsevier,Ann Med Surg (Lond),252,0,0
Elsevier,Ann Phys Rehabil Med,16,0,0
Elsevier,Ann Thorac Surg,105,0,0
Elsevier,Ann Tour Res,58,0,0
Elsevier,Annu Rev Control,28,0,0
Elsevier,Annu Rev Fish Dis,1,0,0
Elsevier,Antibiotiques (Paris),11,0,0
Elsevier,Appl Acoust,1,0,0
Elsevier,Appl Anim Behav Sci,7,0,0
Elsevier,Appl Catal B,4,0,0
Elsevier,Appl Clay Sci,1,0,0
Elsevier,Appl Energy,29,0,0
Elsevier,Appl Ergon,3,0,0
Elsevier,Appl Geogr,12,0,0
Elsevier,Appl Math Comput,21,0,0
Elsevier,Appl Math Lett,3,0,0
Elsevier,Appl Math Model,19,0,0
Elsevier,Appl Radiat Isot,1,0,0
Elsevier,Appl Soft Comput,79,0,0
Elsevier,Appl Soil Ecol,1,0,0
Elsevier,Appl Surf Sci,4,0,0
Elsevier,Appl Therm Eng,4,0,0
Elsevier,Appl Transl Genom,1,0,0
Elsevier,Aquac Rep,1,0,0
Elsevier,Arab J Gastroenterol,13,0,0
Elsevier,Arch Biochem Biophys,14,0,0
Elsevier,Arch Cardiovasc Dis,23,0,0
Elsevier,Arch Gerontol Geriatr,33,0,0
Elsevier,Arch Mal Coeur Vaiss Pratique,17,0,0
Elsevier,Arch Oral Biol,2,0,0
Elsevier,Arch Rehabil Res Clin Transl,6,0,0
Elsevier,Arch Soc Esp Oftalmol (Engl Ed),4,0,0
Elsevier,Arthroplast Today,16,0,0
Elsevier,Arthrosc Sports Med Rehabil,9,0,0
Elsevier,Arthroscopy,5,0,0
Elsevier,Artif Intell Med,7,0,0
Elsevier,Arts Psychother,5,0,0
Elsevier,Asia Pac J Sports Med Arthrosc Rehabil Technol,1,0,0
Elsevier,Asian J Pharm Sci,4,0,0
Elsevier,Asian J Soc Sci,1,0,0
Elsevier,Asian J Surg,22,0,0
Elsevier,Asian J Urol,3,0,0
Elsevier,Asian Nurs Res (Korean Soc Nurs Sci),7,0,0
Elsevier,Asian Pac J Trop Biomed,9,0,0
Elsevier,Asian Pac J Trop Med,9,0,0
Elsevier,Atheroscler Plus,1,0,0
Elsevier,Atmos Environ (1994),40,0,0
Elsevier,Atmos Environ X,2,0,0
Elsevier,Atmos Pollut Res,12,0,0
Elsevier,Atmos Res,6,0,0
Elsevier,Auris Nasus Larynx,30,0,0
Elsevier,Aust Infect Control,8,0,0
Elsevier,Aust J Physiother,1,0,0
Elsevier,Australas Emerg Care,7,0,0
Elsevier,Autoimmun Rev,69,0,0
Elsevier,Autom Constr,1,0,0
Elsevier,Auton Neurosci,6,0,0
Elsevier,AWHONN Lifelines,3,0,0
Elsevier,Baillieres Clin Gastroenterol,6,0,0
Elsevier,Baillieres Clin Haematol,3,0,0
Elsevier,Baillieres Clin Rheumatol,1,0,0
Elsevier,BBA Adv,1,0,0
Elsevier,Behav Brain Res,1,0,0
Elsevier,Behav Res Ther,4,0,0
Elsevier,Behav Ther,1,0,0
Elsevier,Beitr Pathol,1,0,0
Elsevier,Beni Suef Univ J Basic Appl Sci,2,0,0
Elsevier,Best Pract Res Clin Anaesthesiol,25,0,0
Elsevier,Best Pract Res Clin Gastroenterol,3,0,0
Elsevier,Best Pract Res Clin Haematol,2,0,0
Elsevier,Best Pract Res Clin Rheumatol,16,0,0
Elsevier,Bioact Mater,4,0,0
Elsevier,Biocatal Agric Biotechnol,8,0,0
Elsevier,Biochem Biophys Rep,16,0,0
Elsevier,Biochem Eng J,5,0,0
Elsevier,Biochem Pharmacol,50,0,0
Elsevier,Biochem Syst Ecol,1,0,0
Elsevier,Biochim Biophys Acta Bioenerg,1,0,0
Elsevier,Biochim Biophys Acta Gen Subj,21,0,0
Elsevier,Biochim Biophys Acta Gene Regul Mech,9,0,0
Elsevier,Biochim Biophys Acta Mol Basis Dis,32,0,0
Elsevier,Biochim Biophys Acta Mol Cell Biol Lipids,5,0,0
Elsevier,Biochim Biophys Acta Mol Cell Res,22,0,0
Elsevier,Biochim Biophys Acta Proteins Proteom,12,0,0
Elsevier,Biochim Biophys Acta Rev Cancer,3,0,0
Elsevier,Biochimie,44,0,0
Elsevier,Biocybern Biomed Eng,10,0,0
Elsevier,Bioelectrochemistry,6,0,0
Elsevier,Biol Cell,2,0,0
Elsevier,Biol Psychiatry Cogn Neurosci Neuroimaging,1,0,0
Elsevier,Biol Psychiatry Glob Open Sci,6,0,0
Elsevier,Biol Psychol,2,0,0
Elsevier,Biomaterials,29,0,0
Elsevier,Biomed Environ Sci,34,0,0
Elsevier,Biomed J,49,0,0
Elsevier,Biomed Signal Process Control,40,0,0
Elsevier,Biomedicine (Taipei),4,0,0
Elsevier,Biophys Chem,16,0,0
Elsevier,Bioprinting,1,0,0
Elsevier,Bioresour Technol,6,0,0
Elsevier,Bioresour Technol Rep,9,0,0
Elsevier,Biosci Hypotheses,1,0,0
Elsevier,Biosens Bioelectron X,1,0,0
Elsevier,Biosyst Eng,1,0,0
Elsevier,Biosystems,9,0,0
Elsevier,Biotechnol Annu Rev,1,0,0
Elsevier,Biotechnol Rep (Amst),3,0,0
Elsevier,BJA Educ,5,0,0
Elsevier,Blood Adv,47,0,0
Elsevier,Blood Cells Mol Dis,13,0,0
Elsevier,Body Image,2,0,0
Elsevier,Bol Med Hosp Infant Mex,2,0,0
Elsevier,Br Homeopath J,1,0,0
Elsevier,Brain Behav Immun Health,66,0,0
Elsevier,Brain Disord,2,0,0
Elsevier,Brain Hemorrhages,12,0,0
Elsevier,Brain Res,5,0,0
Elsevier,Brain Res Bull,4,0,0
Elsevier,Brain Res Dev Brain Res,1,0,0
Elsevier,Brain Res Rev,2,0,0
Elsevier,Brain Stimul,11,0,0
Elsevier,Braz J Anesthesiol,41,0,0
Elsevier,Braz J Microbiol,3,0,0
Elsevier,Braz J Otorhinolaryngol,20,0,0
Elsevier,Braz J Phys Ther,8,0,0
Elsevier,Build Environ,146,0,0
Elsevier,Bull Acad Natl Med,291,0,0
Elsevier,Burns,45,0,0
Elsevier,Burns Open,4,0,0
Elsevier,C R Biol,5,0,0
Elsevier,C R Chim,2,0,0
Elsevier,Can Assoc Radiol J,1,0,0
Elsevier,Cancer Cell,45,0,0
Elsevier,Cancer Epidemiol,2,0,0
Elsevier,Cancer Genet Cytogenet,1,0,0
Elsevier,Cancer Lett,13,0,0
Elsevier,Cancer Treat Res Commun,15,0,0
Elsevier,Cancer Treat Rev,7,0,0
Elsevier,Carbohydr Res,5,0,0
Elsevier,Cardiol Clin,1,0,0
Elsevier,Cardiovasc Digit Health J,10,0,0
Elsevier,Cardiovasc Pathol,20,0,0
Elsevier,CASE (Phila),13,0,0
Elsevier,Case Manager,2,0,0
Elsevier,Case Rep Womens Health,22,0,0
Elsevier,Case Stud Transp Policy,2,0,0
Elsevier,Catal Today,1,0,0
Elsevier,Cell Calcium,5,0,0
Elsevier,Cell Chem Biol,12,0,0
Elsevier,Cell Host Microbe,134,0,0
Elsevier,Cell Immunol,20,0,0
Elsevier,Cell Metab,25,0,0
Elsevier,Cell Rep,153,0,0
Elsevier,Cell Rep Med,80,0,0
Elsevier,Cell Rep Methods,2,0,0
Elsevier,Cell Rep Phys Sci,2,0,0
Elsevier,Cell Signal,15,0,0
Elsevier,Ceram Int,7,0,0
Elsevier,Chaos Solitons Fractals,292,0,0
Elsevier,Chem Biol Interact,23,0,0
Elsevier,Chem Eng J,49,0,0
Elsevier,Chem Eng Res Des,2,0,0
Elsevier,Chem Eng Sci,6,0,0
Elsevier,Chem Health Saf,2,0,0
Elsevier,Chem Phys,4,0,0
Elsevier,Chem Phys Lipids,4,0,0
Elsevier,Chemometr Intell Lab Syst,8,0,0
Elsevier,Chemosphere,35,0,0
Elsevier,Child Abuse Negl,47,0,0
Elsevier,Child Youth Serv Rev,58,0,0
Elsevier,Chin Chem Lett,2,0,0
Elsevier,Chin Herb Med,13,0,0
Elsevier,Chin J Chem Eng,2,0,0
Elsevier,Chin J Traumatol,11,0,0
Elsevier,Chin Med Sci J,8,0,0
Elsevier,Chronic Dis Transl Med,11,0,0
Elsevier,Ci Ji Yi Xue Za Zhi,2,0,0
Elsevier,Cir Esp (Engl Ed),14,0,0
Elsevier,Cities,43,0,0
Elsevier,CJC Open,34,0,0
Elsevier,Clean Eng Technol,2,0,0
Elsevier,Clim Risk Manag,2,0,0
Elsevier,Clin Appl Immunol Rev,2,0,0
Elsevier,Clin Biochem,30,0,0
Elsevier,Clin Breast Cancer,7,0,0
Elsevier,Clin Chim Acta,104,0,0
Elsevier,Clin Colorectal Cancer,10,0,0
Elsevier,Clin Diagn Virol,13,0,0
Elsevier,Clin Epidemiol Glob Health,80,0,0
Elsevier,Clin Genitourin Cancer,5,0,0
Elsevier,Clin Immunol Immunopathol,4,0,0
Elsevier,Clin Infect Pract,19,0,0
Elsevier,Clin Invest Ginecol Obstet,11,0,0
Elsevier,Clin Investig Arterioscler,7,0,0
Elsevier,Clin Liver Dis,5,0,0
Elsevier,Clin Lung Cancer,6,0,0
Elsevier,Clin Microbiol Newsl,53,0,0
Elsevier,Clin Neurol Neurosurg,50,0,0
Elsevier,Clin Neurophysiol Pract,2,0,0
Elsevier,Clin Nutr,53,0,0
Elsevier,Clin Nutr Exp,2,0,0
Elsevier,Clin Nutr Open Sci,2,0,0
Elsevier,Clin Oncol (R Coll Radiol),55,0,0
Elsevier,Clin Park Relat Disord,5,0,0
Elsevier,Clin Pediatr Emerg Med,10,0,0
Elsevier,Clin Plast Surg,1,0,0
Elsevier,Clin Podiatr Med Surg,1,0,0
Elsevier,Clin Psychol Rev,5,0,0
Elsevier,Clin Res Hepatol Gastroenterol,36,0,0
Elsevier,Clin Simul Nurs,14,0,0
Elsevier,Clin Sports Med,11,0,0
Elsevier,Clin Tech Small Anim Pract,7,0,0
Elsevier,Clin Ther,48,0,0
Elsevier,Clin Transl Radiat Oncol,11,0,0
Elsevier,Cogn Behav Pract,24,0,0
Elsevier,Cogn Dev,1,0,0
Elsevier,Cogn Syst Res,1,0,0
Elsevier,Cognition,1,0,0
Elsevier,Collegian,5,0,0
Elsevier,Colloid Interface Sci Commun,5,0,0
Elsevier,Colloids Surf A Physicochem Eng Asp,3,0,0
Elsevier,Colloids Surf B Biointerfaces,8,0,0
Elsevier,Commun Nonlinear Sci Numer Simul,14,0,0
Elsevier,Comp Biochem Physiol B Biochem Mol Biol,2,0,0
Elsevier,Comp Biochem Physiol C Toxicol Pharmacol,1,0,0
Elsevier,Complement Ther Med,12,0,0
Elsevier,Compos Part A Appl Sci Manuf,1,0,0
Elsevier,Compos Sci Technol,1,0,0
Elsevier,Compos Struct,1,0,0
Elsevier,Compr Psychiatry,18,0,0
Elsevier,Comput Aided Des,1,0,0
Elsevier,Comput Aided Geom Des,1,0,0
Elsevier,Comput Biol Med,181,0,0
Elsevier,Comput Chem Eng,2,0,0
Elsevier,Comput Commun,8,0,0
Elsevier,Comput Compos,1,0,0
Elsevier,Comput Educ,8,0,0
Elsevier,Comput Electr Eng,9,0,0
Elsevier,Comput Electron Agric,3,0,0
Elsevier,Comput Environ Urban Syst,6,0,0
Elsevier,Comput Geosci,1,0,0
Elsevier,Comput Graph,5,0,0
Elsevier,Comput Hum Behav Rep,5,0,0
Elsevier,Comput Human Behav,35,0,0
Elsevier,Comput Ind,1,0,0
Elsevier,Comput Ind Eng,20,0,0
Elsevier,Comput Math Appl,1,0,0
Elsevier,Comput Methods Appl Mech Eng,3,0,0
Elsevier,Comput Methods Programs Biomed Update,3,0,0
Elsevier,Comput Oper Res,3,0,0
Elsevier,Comput Sci Rev,1,0,0
Elsevier,Comput Secur,5,0,0
Elsevier,Comput Stand Interfaces,2,0,0
Elsevier,Comput Stat Data Anal,5,0,0
Elsevier,Comput Struct Biotechnol J,98,0,0
Elsevier,Comput Theor Chem,4,0,0
Elsevier,Comput Toxicol,5,0,0
Elsevier,Constr Build Mater,3,0,0
Elsevier,Contemp Clin Trials,54,0,0
Elsevier,Contemp Clin Trials Commun,21,0,0
Elsevier,Contemp Educ Psychol,1,0,0
Elsevier,Contracept X,3,0,0
Elsevier,Coord Chem Rev,8,0,0
Elsevier,Cortex,4,0,0
Elsevier,Cretac Res,2,0,0
Elsevier,Crit Care Nurs Clin North Am,9,0,0
